Date,Close,High,Low,Open,Volume,Ticker
2025-06-12,3304.1845703125,3343.1512807546196,3293.6010193282204,3340.4572389790806,4060134,TCS.NS
2025-06-13,3315.249267578125,3319.8675914563746,3264.7368639985107,3264.7368639985107,2178493,TCS.NS
2025-06-16,3363.93359375,3376.152737355931,3296.487416323079,3309.7650089781714,1934088,TCS.NS
2025-06-17,3382.21435546875,3386.736371257649,3356.04416685221,3377.114961112031,2111940,TCS.NS
2025-06-18,3320.733154296875,3404.054653859175,3312.7475723939338,3385.8702840087717,2696327,TCS.NS
2025-06-19,3294.370849609375,3320.3486571267385,3283.787298398597,3319.386516107577,2672768,TCS.NS
2025-06-20,3305.62744140625,3315.826228899941,3281.766300119304,3295.332580761218,2351248,TCS.NS
2025-06-23,3265.121826171875,3295.332959933054,3242.4152043720856,3285.71154983106,3123421,TCS.NS
2025-06-24,3262.042724609375,3311.785601803136,3253.9608342374113,3304.569544364703,3403048,TCS.NS
2025-06-25,3314.38330078125,3319.3863869066126,3271.2793378210094,3278.3030139670477,1757699,TCS.NS
2025-06-26,3311.496826171875,3320.7332385135887,3286.000090554292,3314.3832490719788,2879106,TCS.NS
2025-06-27,3310.82373046875,3335.1657116254887,3301.106011701098,3324.197397384813,1778433,TCS.NS
2025-06-30,3330.93212890625,3333.7222438362,3300.143617027278,3309.6687189307536,1468351,TCS.NS
2025-07-01,3299.85498046875,3353.0614253891877,3284.268343060543,3324.1971950415045,2375183,TCS.NS
2025-07-02,3293.697265625,3357.7757139896216,3290.5221534097136,3355.1779803217332,3090585,TCS.NS
2025-07-03,3272.049072265625,3305.242935877825,3268.9702681275116,3300.143541734672,2531870,TCS.NS
2025-07-04,3290.329833984375,3297.257202194738,3261.7542933055606,3278.9765232213795,1109320,TCS.NS
2025-07-07,3282.53662109375,3296.3915933540857,3279.361508602982,3288.8868460752856,1639174,TCS.NS
2025-07-08,3277.244873046875,3295.333172183221,3264.9294203435506,3276.090350739815,2325242,TCS.NS
2025-07-09,3255.692626953125,3284.749236961352,3239.528611847941,3280.9006731219124,2034938,TCS.NS
2025-07-10,3253.960693359375,3270.317089511684,3228.945028655843,3252.036411459103,3035012,TCS.NS
2025-07-11,3142.352294921875,3208.740019462478,3137.6378982976325,3174.968778671878,7635550,TCS.NS
2025-07-14,3100.691650390625,3148.1252470894524,3078.8510973979974,3142.352401281831,3924009,TCS.NS
2025-07-15,3129.1708984375,3136.0019578941046,3084.6237277539685,3084.6237277539685,2590889,TCS.NS
2025-07-16,3121.2548828125,3132.6464874286985,3109.187305299685,3115.365810708297,2540733,TCS.NS
2025-07-17,3098.181640625,3129.8470122556437,3093.2582102459683,3112.5663349360093,2947640,TCS.NS
2025-07-18,3079.549072265625,3117.103513998714,3076.749488627971,3113.434923384125,3432645,TCS.NS
2025-07-21,3048.946044921875,3086.9831935033963,3042.9605731669335,3079.6460115490218,3844346,TCS.NS
2025-07-22,3050.297607421875,3070.0884350644405,3045.470576289542,3050.297607421875,3198036,TCS.NS
2025-07-23,3069.122802734375,3071.92238630693,3048.3665703944635,3050.297382705153,1922875,TCS.NS
2025-07-24,3039.098876953125,3063.909770455093,3031.3756269481614,3055.6074181166887,2934778,TCS.NS
2025-07-25,3027.32080078125,3047.6907301283586,3017.47370470728,3031.375459671135,2568917,TCS.NS
2025-07-28,2972.775390625,3010.1365638260077,2963.700430830921,3002.413314143324,3374473,TCS.NS
2025-07-29,2950.281494140625,2967.658806606113,2935.993434530025,2954.1431191329557,4785312,TCS.NS
2025-07-30,2947.96435546875,2962.831516110354,2941.7856146047457,2954.14286063789,2880121,TCS.NS
2025-07-31,2931.74560546875,2953.9499481457733,2910.6997030967705,2936.47600158721,2968371,TCS.NS
2025-08-01,2899.11474609375,2931.7455219766357,2896.2185275661836,2925.0840779463133,2053847,TCS.NS
2025-08-04,2968.044677734375,2972.8717086542492,2888.1092342571515,2905.0038424767117,2519252,TCS.NS
2025-08-05,2957.907958984375,2971.0375775693733,2936.7656575031788,2968.044724074376,1927996,TCS.NS
2025-08-06,2927.401123046875,2960.7076353045086,2921.319017147813,2957.0390447864347,1487081,TCS.NS
2025-08-07,2941.5927734375,2946.0337363593026,2906.741514367591,2911.665180402855,2543076,TCS.NS
2025-08-08,2931.359130859375,2953.94977611907,2920.353595060068,2942.6545713366527,2762140,TCS.NS
2025-08-11,2935.607177734375,2944.3922326106717,2916.78175710605,2931.3592490987544,1884215,TCS.NS
2025-08-12,2930.393798828125,2989.2835752923374,2922.187846369997,2935.8001676667204,3358232,TCS.NS
2025-08-13,2931.166259765625,2939.0825434733065,2923.8293140563796,2931.0698605624675,2148166,TCS.NS
2025-08-14,2917.7470703125,2950.1845757137776,2914.6578177545016,2929.0422751905776,3342174,TCS.NS
2025-08-18,2907.03125,2943.5236533530624,2899.501034118434,2941.1101377304376,2945609,TCS.NS
2025-08-19,2911.858154296875,2920.353776057107,2906.9347240582983,2907.0311232620697,2650784,TCS.NS
2025-08-20,2991.40771484375,2996.0414760002127,2906.741403418293,2906.741403418293,4952358,TCS.NS
2025-08-21,2995.26953125,3021.721568272579,2976.444109339037,3021.721568272579,3230726,TCS.NS
2025-08-22,2948.3505859375,2988.6079780367672,2944.4889610705222,2979.2435848733217,1593791,TCS.NS
2025-08-25,3031.955078125,3042.960615514831,2970.6517789228456,2980.4988759076773,3448370,TCS.NS
2025-08-26,3047.98046875,3052.6144657420946,3012.067404527304,3020.756060501902,5522097,TCS.NS
2025-08-28,2986.67724609375,3037.6507428505593,2979.7263682848406,3036.2026334864163,3116051,TCS.NS
2025-08-29,2977.988525390625,3007.2403810515466,2970.747978726777,2986.001444170926,2271789,TCS.NS
2025-09-01,3004.92333984375,3022.7833539936464,2983.105066117822,2983.105066117822,1246862,TCS.NS
2025-09-02,3003.861572265625,3045.856744495596,2995.752253975034,3013.1295666219185,2185229,TCS.NS
2025-09-03,2990.345947265625,3033.209891747505,2981.1745876210657,3021.6250164070084,1799774,TCS.NS
2025-09-04,2988.60791015625,3010.136515439645,2983.877514079595,3008.205703050011,1481391,TCS.NS
2025-09-05,2942.84765625,2996.0413944584525,2923.8292019621163,2989.959524182405,2802055,TCS.NS
